planned performance;geplante Leistung, Leistungsvorgabe
ability;Fähigkeit
bribe;bestechen
backlog demand;Nachholbedarf
auxiliary advertising;unterstützende Werbung
back order;Auftragsrückstand
at the date stipulated;zu dem vereinbarten Zeitpunkt
officers of the company;Direktoren, Abteilungsleiter
indicator;Indikator
gold reserves;Goldreserven
accession to the resources;Zugang zu den Resourcen
market organization;Marktorganisation
closed mortgage;voll belastete Hypothek
commuter;Pendler
reduction for students;Ermäßigung für Schüler und Studenten
threshold;Schwelle, Reizschwelle
paid-up;abgezahlt
improvement factor;Verbesserungsfaktor
keep records;Aufzeichnungen machen
carriage of the goods by air;Lieferung der Ware durch Lufttransport
warehousing charges;Lagergeld
ready money down, ready money only;nur gegen bar
rule of interpretation;Regel zur Auslegung
external account;externes Konto, Auslandskonto
you must make a choice;Sie müssen sich entscheiden
flow of traffic;Verkehrsstrom
amendment of judgement;Ergänzung eines Urteils
extra income;Nebeneinkommen, zusätzliches Einkommen
rolling in money;in Geld schwimmen
to find employment;eine Stelle finden
cancellation of an entry;Löschung einer Eintragung, Stornierung einer Buchung
limit of profitability;Rentabilitätsgrenze
instructions;Richtlinien
considerable;beträchtlich
excess of purchasing power;Kaufkraftüberschuss, Kaufkraftüberhang
fashion;Mode
inspect;prüfen, untersuchen, kontrollieren
adjourn a meeting;eine Sitzung vertagen
dead capital;Kapital ohne Ertrag, totes Kapital
advised to a beneficiary;einem Begünstigten avisiert
lump;Stück, Masse
sham contract;Scheinvertrag
baby food;Babynahrung
small business;Kleinunternehmen
cooperative;genossenschaftlich
involved in processing;mit der Durchführung befasst, Anreiz
scarce;rar
semi-finished;halbfertig
consignment note;Frachtbrief
have been effectively delivered;sind tatsächlich geliefert worden
equalize, equate;ausgleichen
limitation;Begrenzung
cost analysis;Kostenanalyse
for the purposes of giving effect;zum Zwecke der Ausführung
in accordance with the regulations;in Übereinstimmung mit den Vorschriften
postal zone;Postzustellbezirk
reputed;bekannt als
blank credit;Blankokredit
livestock;lebendes Inventar, Vieh
indication of route of transport;Leitvermerk
storage of finished goods;Fertigwarenlagerung
market inquiry;Marktuntersuchung
agricultural enterprise;landwirtschaftliches Unternehmen
impressive;eindrucksvoll
case study;Fallstudie
late opening;späte Abendschlusszeit
judgnent debt;vom Gericht anerkannte Schuld
attract;anziehen
go public;an die Börse gehen
unanimous;einstimmig
lively activity;lebhafte Tätigkeit
triplicate;dreifach
attitude to work;Einstellung zur Arbeit
mark down;Preis herabsetzen
overdue account;überfällige Abrechnung
instructions for use;Gebrauchsanleitung
long-term objective;Fernziel
lower limit of parity;untere Paritätsgrenze
lack of information;Mangel an Information
incalculable loss;nicht abschätzbarer Verlust
overstep;überschreiten
sales estimate;Abschätzung der Umsätze
registered capital;eingetragenes Kapital
headline;Schlagzeile
detail drawing;Teilzeichnung
admissibility;Zulässigkeit
level of employment;Beschäftigungsniveau
official discretion;amtliche Schweigepflicht
expected;erwartet
head of a list;Kopf einer Liste
to keep a promise;ein Versprechen halten
expenses of landing the goods;Kosten des Löschens
industrialist;Industrieller
into the custody of the first carrier;ins Gewahrsam des ersten Frachtführers
baby bonds;Kleinstobligationen
in the course of transit by sea;während des Seetransports
cashier;Kassier
laborious;mühsam
give appropriate instructions;geeignete Weisungen erteilen
launch a product;ein Produkt auf den Markt bringen
reserve the necessary space;den erforderlichen Raum reservieren
transferable by endorsement;übertragbar durch Indossament
confer with sb.;mit jemandem Rücksprache nehmen
strongroom;Tresorraum
when full payment has been received;nach Erhalt der vollen Zahlung
delivery note;Lieferschein
zero growth;Wachstumsstillstand
alternating operation;Wechselbetrieb
above value;über Wert
minimum time rate;Mindestzeitlohn
uncercainty of sth.;Unsicherheit von etwas
National Insurance Act;Sozialversicherungsgesetz (Br.)
print shop;Druckerei
hawker;fliegender Händler, Hausierer, Köker, Straßenhändler, Wandergewerbetreibender
banker's order;Bankanweisung, Zahlungsauftrag
top left;oben links
bye-law;städtische Verordnung
sabotage;sabotieren, Sabotage
no-par;nennwertlos
loan bank;Lombardbank
advice of non-acceptance;Meldung über Nichtakzeptierung
lombard business;Lombardgeschäft
nought;null
keep a secret;etwas geheimhalten
for the purpose of enabling the buyer to;um es dem Käufer zu ermöglichen
price advance;Kurssteigerung, Preiserhöhung
point at issue;strittiger Punkt
fix a time-limit;einen Termin ansetzen
air parcel;Luftpostpaket
hire a crew;eine Mannschaft anheuern
pool support;Stützungskäufe
current price;Tagespreis
postmark;Datumstempel der Post
above quotation;obengenannter Kurs
reduction of wages;Lohnkürzungen
prime bill;erstklassiger Wechsel
a judicial authority;eine gerichtliche Instanz
as agreed upon;wie ausgemacht
fellow-countryman;Landmann
owe money;Geld schulden
the full description;die vollständige Bezeichnung
basic training;Grundausbildung
blank column;leere Spalte
operator on incentive;Akkordarbeiter
special provisions of law;besondere Rechtsvorschriften
definite decision;Endbescheid, endgültiger Bescheid
shipment;Lieferung, Verschiffung
partner in a firm;Gesellschafter
intelligence test;Intelligenztest
dial;eine Telefonnummer anwählen
native language;Muttersprache
lodge a protest;Protest erheben
burden base;Gemeinkostenzuordnungsbasis
industrious;fleißig
civil commotion;Aufruhr
tick;Kontrollzeichen
keep ready;bereithalten
what obligations;was für Verpflichtungen
of the expected date of arrival;von dem voraussichtlichen Ankunftsdatum
work sheet;Arbeitsblatt
even if;selbst wenn
subject to compliance with;nur in Übereinstimmung mit
to have a preference for sth.;eine Vorliebe für etwas haben
impulse buying;Spontankauf
exemption clause;Ausnahmebestimmung
by telegram;per Telegramm
before parting with their money;ehe sie zahlen, vor der Bezahlung
clerk;Büroangestellter, Schalterbeamter
excise duties;Verbrauchssteuern
fund;Fond
narration;kurze Wiedergabe des Sachverhalts
subject to;gemäß
electric power consumption;Stromverbrauch
refer specifically to an INCOTERM;sich ausdrücklich auf ein INCOTERM beziehen
emergency legislation;Notgesetzgebung
on other terms and;conditions unter anderen Bedingungen
product analysis;Produktanalyse
unavoidable accident;unvermeidbarer oder nichtvermeidbarer Unfall
monopolistic;monopolistisch
certificate of inheritance;Erbschein
operate a business;ein Geschäft führen
sales commission;Verkaufsprovision
open contest;offenes Preisausschreiben
saturation coefficient;Sättigungskoeffizient
arbitrage;Arbitrage, Schiedsgerichtsbarkeit
to answer a bill of exchange;einen Wechsel einlösen
family income supplement;Familienzulage
livind wage;Existenzminimum
fatigue allowance;Erholungszuschlag
or other similar taxes;oder ähnliche Steuern
appropriate to;entsprechend
market order;Bestens-Auftrag
finance house;Finanzierungsgesellschaft
term of a bill;Laufzeit eines Wechsels
thin face;schmale Schrift, magere Schrift
investment trust;Anlagefonds, Investmentgesellschaft
publish;herausgeben, veröffentlichen
easy money policy;Politik des billigen Geldes
achieve;vollbringen
means of payment;Zahlungsmittel
bidding lowest;niedrigstbietend
bond debt;Anleihenschuld
exact address;genaue Anschrift
waiver of a fee;Erlass einer Gebühr
rate relief;Grundsteuernachlass
machine-oriented;maschinenorientiert
none of the provisions affect;keine der Regeln berührt
call in money;Darlehen kündigen
ranking;in einen Rang einreihen
cost efficiency;Kosteneffizienz
limitation of liability;Beschränkung der Haftung
sinking-fund;Tilgungsfonds
registered mail;Einschreiben, eingeschriebene Post
tangible property;Sachvermögen
quay;Kai
declaration of bankruptcy;Bankrotterklärung
money holdings;Geldbestände
attraction;Zugkraft
state grant;staatlicher Zuschuss
urgent call;dringendes Gespräch
rate;Kurs, Preis, Tarif, Verhältnis, Satz
office help;Bürohilfe
time of arrival;Ankunftszeit
under any provision of this article;unter irgendeiner Bestimmung dieses Artikels
deficit;Defizit, Fehlbetrag
of considerable means;begütert
peak output;Höchstproduktion
neglect;Verletzung der Sorgfalt
the customary packing;die übliche Verpackung
quality description;Qualitätsbeschreibung, Qualitätsbezeichnung
rank;Rang
table of charges;Gebührenaufstellung
animation among buyers;Kauflust
capitalistic;kapitalistisch
note;Anmerkung, schriftliche Mitteilung
raise of salary;Gehaltserhöhung
loans to trade and industry;gewerbliche Darlehen
factory equipment;Betriebsanlagen, Betriebsausstattung, Maschinenausstattung, Betriebseinrichtung
enter;eintreten, eintragen, buchen
account turnover;Kontoumsatz
vulnerability;Verletzbarkeit
entry;Eintritt, Eintrag, Buchung
to invite offers;Angebote einholen, erbitten
administration of an estate;Nachlassverwaltung
intermediary;Mittelsmann, Vermittler, vermittelnd, dazwischengeschaltet
occupational disease;Berufskrankheit
accessary before the fact;Helfer vor der Tat (vor dem Verbrechen)
large-lot production;Fertigung in großen Serien
at which presentation is to be made;wo die Vorlegung erfolgen soll
consumer demand;Nachfrage der Verbraucher
working couple;angestelltes Ehepaar
qualified worker;eingearbeiteter Arbeiter
free assets;verfügbare Guthaben
we will maximize our sales efforts;werden Verkaufsanstrengungen maximieren
sqeeze down;drücken
an attempt at conciliation;ein Schlichtungsversuch
declining;rückläufig, fallend
hoard up a treasure;ein Vermögen ansammeln
index;Register, Sachregister, Index
elastic;elastisch
accommodation acceptance;Gefälligkeitswechsel
work label;Laufkarte für ein Werkstück
waiting line;Warteschlange
manufacturing contract;Fertigungsvertrag
shipowner;Schiffseigentümer
reinsurer;Rückversicherer
pattern of requirements;Nachfragestruktur
booking of tickets;Kartenvorverkauf
to abandon a right;auf ein Recht verzichten
the insurance of the goods;die Versicherung der Ware
adopt;adoptieren, festsetzen, annehmen
net assets;Reinvermögen
burden of evidence;Last der Beweisführung
aid;Hilfe
knowledge of contents;Kenntnis des Inhalts
cost effectiveness;Kostenwirksamkeit, Wirtschaftlichkeit
list of sales;Liste der getätigten Umsätze
list of manufacturers;Liste der Hersteller
liquidation of a mortgage;Löschung einer Hypothek
first mortgage, first mortgage loan;erste Hypothek
enquiry;Anfrage, Erkundigung
restriction;Drosselung, Einschränkung, Beschränkung
documents payable at sight;bei Sicht zahlbare Dokumente
self-explanatory;sich selbst erklärend
muscular effort;körperliche Leistung
accepting house;Akzept-Bank (Br.)
waste product;Abfallprodukt
parity;Parität, Umrechnungskurs
until their arrival;bis zu deren Ankunft
charge to an account;ein Konto belasten
exchange law;Wechselrecht
common law;bürgerliches Recht
at the time when;dann wenn
main catalogue;Hauptkatalog
acceptance is to be made;Akzeptleistung soll erbracht werden
federal government;Bundesregierung
rate of redemption, rate of repayment;Tilgungsrate
learning efficiency;Lernleistung
noisy advertising;marktschreierische Werbung
dunning;Mahnung (US)
under these rules;nach dieser Ordnung, nach diesen Regeln, unter diesen Regeln
deficiency in number;unzulängliche Anzahl
work load;Arbeitsbelastung
inventory card;Lagerkarte, Lagerbestandskarte
certificate of authority;Vollmacht
money demand;Geldbedarf
dividend forecast;Dividendenvoraussage
right upper corner;Ecke oben recht
debt on mortgage;Hypothekarschuld, Hypothekenschuld
director general;Generaldirektor
request payment;Zahlung erbitten
joint stock company;Aktiengesellschaft
have changed radically;haben sich grundlegend geändert
for the account of;für Rechnung von
liability for any acts;Haftung für irgendwelche Handlungen
final payment;Restzahlung
process card;Arbeitsablaufkarte
billposting;Plakatanschlag
cash dispenser;Bargeldausgeber, Geldautomat
gross amount;Bruttobetrag
industrial centre;Industriezentrum, Industriezusammenballung
conflicting;sich widersprechend
deferred charges;verzögerte Gebühren
loss of custom;Verlust der Kundschaft
mobility;Beweglichkeit, Mobilität, Beweglichkeit
starting basis;Ausgangsbasis
political economics;Staatswissenschaft
Bank of England;Bank von England
incorporation of a company;Eintragung einer Firma
corporate body;juristische Person
legal title;Rechtsanspruch
by request;auf Verlangen
bill of materials;Materialliste, Stückliste
overall labour agreement;Mantelvertrag
industrial decentralization;Dezentralisierung der Industrie
optional;freigestellt, wahlfrei, auf Wunsch
taxed;besteuert
non-committal;unverbindlich
that should be agreed on;die vertraglich gesichert werden müssten
to rediscount;rediskontieren
holder of a pension;Empfänger einer Pension
machine;Maschine
complimentary copy;Freiexemplar
analysis department;Finanzanalyseabteilung
newspapers shares;Teitungsaktien
ransom;Lösegeld
import duty;Einfuhrzoll
incalculable risk;nicht abschätzbares Risiko
manual;Handbuch
excise;Verbrauchssteuer
goods on hand;verfügbare Ware, Warenvorrat
an agreement to the contrary;eine gegenteilige Vereinbarung
job study;Arbeitsplatzanalyse
miser;Geizhals
easy market;Markt mit billigen Krediten
poster type;Plakatschrift
rock-bottom price;allerniedrigster Preis, äußerster Preis
suffer damages;Schaden leiden
offshore funds;Exotenfonds
reoperation;Nacharbeit
export company;Exportunternehmen
item of the budget;Titel des Haushaltsplanes
special crossing;besonderer Verrechnungsvermerk
we want all trade barriers abolished;möchten alle Handelsbarrieren abschaffen
marketing innovation;neue Vertriebsidee
term of credit;Zahlungsziel
seasonal demand;saisonbedingte Nachfrage
random distribution;Zufallsverteilung
back charges;Rückspesen
load on board;an Bord verladen
notarially certified;notariell beglaubigt
project analysis;Projektanalyse
has become indispensable;ist unentbehrlich geworden
saturation of demand;Sättigung der Nachfrage
not be available;nicht verfügbar sein
collection of outstanding amounts;Einzug von Außenständen
escalate;eskalieren
sale or return;in Kommission, Kauf mit Rückgaberecht
hedge;absichern, Absicherung im Termingeschäft, Sicherungsgeschäft
net;netto
in the upper grade of the civil service;im gehobenen Dienst
motivation;geistiger Antrieb, innerer Antrieb, Motivation
raise money;Geld aufnehmen, Geld aufbringen
time bargain;Börsentermingeschäft
manager's assistant;Direktionsassistent
dubious debts;Dubiose
mode of operation;Betriebsart
increased efficiency;Mehrleistung, Leistungssteigerung
type of costs;Kostenart
basic equipment;Grundausstattung
reject;verwerfen, ablehnen, zurückweisen, ablehen
indirect costs;Gemeinkosten, indirekte oder mittelbare Kosten
weekly balance sheet;Wochenbilanz
transferor;Indossant, Weitergeber
official holiday;amtlicher Feiertag
misdirection;Fehlleitung
out-of-time;unzeitgemäß
indication of origin;Ursprungsbezeichnung
forfeiture of a right;Verlust eines Anspruchs
to indemnify so. for a loss;jemanden für einen Verlust entschädigen
certificate of exemption;Ausnahmegenehmigung
date of packing;Verpackungsdatum
bespoke clothing;Maßkleidung
expedience;Zweckmäßigkeit
chipping;Absplittern
pre-sales service;Vorverkaufskundendienst
problems caused by the text;vom Text verursachte Probleme
swivel chair;Drehstuhl
terms of amortization;Bedingungen für die Amortisation
military service;Militärdienst
expected performance;erwartete Leistung
action for infringement of a patent;Klage wegen Patentverletzung
barrier;Schranke, Hindernis
tape measure;Maßband
modify;abändern, modifizieren
private call;Privatgespräch
outdoor advertising;Außenwerbung
cost price;Selbstkostenpreis
prospects of the market;Marktaussichten
second half of the month;zweite Hälfte des Monats
assets of a bank;Vermögenswerte einer Bank
expensive;teuer, aufwendig
typed text;mit der Maschine geschriebener Text
probability curve;Wahrscheinlichkeitskurve
unearned discount;unerlaubter Skontenabzug
marketing expert;Vertriebsfachmann
to fall due;fällig werden
excess charge;Überberechnung, Sicherheitszuschlag
develop;entwickeln
inflationary adjustment;Inflationsausgleich
bill discounted;diskontierter Wechsel
weekly wage;Wochenlohn
assessment basis;Bemessungsgrundlage
candidate;Kandidat
pyramiding;Anhäufung von Gewinnen durch Spekulation
postal authorities;Postbehörden
investment policy;Anlagepolitik
unit of quantity;Mengeneinheit
hot;heiß
lower the bank rate;den Diskontsatz senken (Br.)
overnight;über Nacht
weekly earnings;Wochenverdienst
in different countries;in verschiedenen Ländern
ballot;Wahl, geheime Wahl, geheime Abstimung
display poster;Schaufensterplakat
absenteeism rate;Abwesenheit in Prozent
bulk commodity;Massengut
customs convention;Zollvereinbarung
parent company;Muttergesellschaft
invisible hand;unsichtbare Hand
luxury article;Luxusartikel
vacillate;schwanken, schwingen
we buy our goods wholesale;wir kaufen unsere Ware im Großhandel
in lieu thereof;entsprechend, anstatt, an Stelle von
to reimburse a branch or bank;eine Filiale oder Bank zu remboursieren
first half of the month;erste Hälfte des Monats
railway guide;Kursbuch
they all conform with;sie stimmen alle überein mit
standard measure;Normalmaß
want of funds;Mangel an Kapital
yield;einbringen, abwerfen
turnover variance;Umsatzabweichung
pledged object;verpfändeter Gegenstand
certificate of registration;Handelsregisterauszug
to enhance prestige;das Ansehen zu mehren
direct material;direktes Material (für die Produktion)
in some degree;einigermaßen
nominal amount;Nominalwert
night school;Abendschule, Abendklassen
matching chair;passender Stuhl
pessimistic time estimate;pessimistische Zeitschätzung
bill to order;Orderwechsel
straightforward;direkt
incur a risk;ein Risiko übernehmen
center of world trade;Welthandelszentrum
postdate;nachdatieren
technological;technologisch
quality class;Güteklasse
drawing;Auslosung
income group;Einkommensklasse
trade statistics;Handelsstatistik
to abate debts;Schulden erlassen
one-storied;einstöckig
abundance;Überfluss
regional edition;Regionalausgabe
domestic commerce;Binnenhandel
sick leave;Krankheitsurlaub
to take down;notieren
device for protection of cheques;Scheckschutzvorrichtung
volume of work;Arbeitsumfang, Arbeitsanfall
commitments;Verpflichtungen
in my capacity as;in meiner Eigenschaft als, in meiner Stellung als
the appropriate maturity date;der betreffende Fälligkeitstag
buyers' competition;Konkurrenz unter Käufern
enter liabilities;Schulden eingehen
advice of payment;Bezahltmeldung
holdings of foreign currency;Reserven in ausländischer Währung
length of time;Dauer, Zeitdauer
volume of expenditure;Ausgabenumfang
obligations;Verpflichtungen
preferential price;Vorzugspreis
petty cash;Portokasse
scrap metal;Metallabfälle
exchange;Telefonvermittlung, Umtausch, Wechsel, umtauschen
the operation of collection;der Inkassovorgang
sighting a bill;Vorlage eines Wechsels zum Akzept
debenture to order;Schuldverschreibung an Order
sample characteristics;Merkmale der Testgruppe
machine-intensive technology;maschinenintensives Verfahren
price basis;Preisbasis
as the case arises;von Fall zu Fall
placard;Plakat
ad valorem;nach Wert
non-resident;nicht ansässig
the party making a request for conciliation;die einen Schlichtungsantrag stellt
cask;Fass
padding material;Füllmaterial
unfurnished room;unmöbliertes Zimmer
weak incentive;abgeschwächter Leistungsverdienstanstieg
defence budget;Verteidigungsetat
abundant;im Überfluss, reichlich
means of income;Einnahmequellen
official exchange rate;offizieller Wechselkurs
balanced time;Restzeit
anticipated cost;erwartete Kosten
calendar day;Kalendertag
lend on mortgage;ein Grundstück beleihen
to one or more other parties;einem Dritten oder mehreren Dritten
high speed railroad;Schnellverkehrsbahn
bearer of a cheque;Inhaber eines Schecks
indeterminate bonds;Obligationen ohne feste Fälligkeit
national dividend;Nationaleinkommen
wages clerk;Lohnsachbearbeiter
the packing of the goods;die Verpackung der Ware
tax on consumption;Konsumbesteuerung
time study department;Zeitstudienabteilung
registered holder;eingetragener Inhaber von Wertpapieren
undercut;unterbieten
non-enforceable;nicht vollstreckbar
law of cause and effect;Gesetz von Ursache und Wirkung
deficiency in receipts;Mindereinnahmen
payload;Nutzlast eines Fahrzeugs
time and motion study;Arbeitsablaufstudie, Zeit- und Bewegungsstudie
statutory;gesetzlich festgelegt
card box;Karteikasten
inelastic supply;unelastisches Angebot
custom of the country;Landesbrauch
housing development;Siedlungsbau
comparison of indices;Indexvergleich
ready for despatch;versandbereit
opinion poll;Meinungsbefragung, Meinungsumfrage
top priority;an erster Stelle
banker's draft;Banktratte
chief accountant;Hauptbuchhalter
average cost;Durchschnittskosten
higher education;Gymnasialbildung
to submit the terms of settlement;die Vergleichsbedingungen vorlegen
work curve;Arbeitskurve
dunning letter;Mahnbrief (US)
home market;Inlansmarkt, Binnenmarkt
technical difficulties;technische Schwierigkeiten
principal activity;Haupttätigkeit
abandonment clause;Versicherungsklausel für Abandonnierung
trade monopoly;Handelsmonopol
the express terms;die ausdrücklichen Weisungen
underwriter;Versicherer, Zeichner
indirect lighting;indirekte Beleuchtung
page boy;Hotelpage
accident hazard;Unfallrisiko
emblem;Zeichen, Firmenzeichen, Logo
propensity to consume;Neigung zu verbrauchen
letter of hypothecation;Hypothekenbrief, Verpfändungsurkunde
submit;unterbreiten, vorlegen
total production;Gesamtproduktion
combined transportdocuments;kombinierte Transportdokumente
movable goos;bewegliches Gut
planning department;Planungsabteilung
loose-leaf catalogue;Loseblattkatalog
sick pay, sickness allowance;Krankengeld
trend;Tendenz, Trend
wages packet;Lohntüte
reinvestment;Wiederanlage
buying-up;Aufkauf
dock dues;Hafengebühren, Dockgebühren
under this term;gemäß dieser Klausel
fierce competition;harte Konkurrenz
by mistake;versehentlich
inflammable;feuergefährlich
high pressure;Hochdruck
appeal court;Berufungsgericht
zero mark;Nullmarkierung
absolute interest;Alleinbesitz
armaments boom;Rüstungshochkonjunktur
exchange control;Devisenkontrolle, Devisenbewirtschaftung
filling material;Füllmaterial
check list;Kontroll-Liste, Prüfliste, Abhakliste, Aufnahmebogen
condensed form;zusammengefasste Form
agricultural commodity market;Agrarmarkt
term of application;Anmeldefrist
for collection only;nur zum Inkasso
post;Posten
growth of population;Bevölkerungswachstum, Bevölkerungszunahme
lighten;erleichtern
assembly line;Fließband, Montageband, Montagestraße
banker's acceptance;Bankakzept
first payment;erste Zahlung
way-bill;Frachtbrief
approximate estimate;angenäherte Schätzung
illicit earnings;unerlaubter Verdienst
bit;Stückchen
bill after sight;Nachsichtwechsel
desk calculator;Arbeitsplatzrechner
leverage;Hebelkraft, Verhältnis Obligationen zu Stammaktien
official quotation;amtliche Börsennotierung, amtliche Kursnotierung an der Börse, amtliche Notierung, amtlicher Kurs
wholesale quotation;Großhandelsangebot
to claim from the insurer;Ansprüche beim Versicherer geltend machen
to take reasonable precautions;angemessene Vorsichtsmaßnahmen treffen
general dealer;Gemischtwarenhändler
margin of safety;Sicherheitsspielraum
mineral deposits;Mineralvorkommen, Erzlagerstätten
is no longer a going concern;ist nicht mehr aktiv
extend the validity;die Gültigkeit verlängern
assistance to all parties;Unterstützung aller Beteiligten
agency commission;Vertreterprovision
technological advance;technischer Fortschritt
office landscape;Bürolandschaft
stamp;Briefmarke, Stempel, Steuermarke
basic time;Grundzeit für einen Arbeitsgang, Normalzeit für einen Arbeitsgang
general crossing;allgemeiner Verrechnungsvermerk
material defect;Materialfehler
exemption;Befreiung
in-depth study;gründliche Untersuchung
vegetarian;Vegetarier
creative precedent;Präzedenzfall
we are in search of a new market;wir halten nach einem neuen Markt Ausschau, wir suchen eine neue Absatzmöglichkeit
market average;Durchschnittskurs
bound;broschiert, gebunden
it is a fact that;es ist bekannt dass
secretariat;Sekretariat
re-usable package;wiederverwendbare Verpackung
we are unable to cope with this rush;außerstande diesen Ansturm zu bewältigen
radio advertising;Rundfunkwerbung
legal reservation;Rechtsvorbehalt
cash market;Kassamarkt
in the country of payment;im Land der Zahlung
equities;Dividendenpapiere, Stammaktien
receive;erhalten, empfangen
according to contract;vertragsgemäß
fraudulent falsification;betrügerische Fälschung
implicit;stillschweigend unterstellt, impliziert
to compete with other nations;mit anderen Nationen im Wettbewerb liegen
revalue;aufwerten
accelerate;beschleunigen
visible items of trade;sichtbarer Teil des Handels
savings bank;Sparkasse
tabulating machine;Tabelliermaschine
commission number;Kommissionsnummer
technical committee;technischer Ausschuss, Fachausschuss
stock account;Kapitalkonto, Lagerkonto
tramp steamer;Trampschiff
investment in a business;Beteiligung an einem Geschäft
to expose;ausstellen
in bond;unter Zollverschluss
to joint together;sich zusammentun
kind of security;Art des Wertpapiers
customer credit note;Kundengutschrift
we are in need of funds;wir benötigen Kapital
office furniture;Büromöbel
area sampling;Flächenstichprobenverfahren
mediator;Vermittler
to effect negotiation;Negoziierung vornehmen
night flight;Nachtflug
testamentary;testamentarisch
organize;organisieren, gestalten
mass communication;Massenkommunikation
key personality;Schlüsselperson
pasteboard;Pappe
in a previous version;in einer früheren Version
confidential;vertraulich
cash discount;Barzahlungsskonto, Barzahlungsrabatt
ex mill;ab Mühle
fit out;ausstatten
list of members;Liste der Mitglieder
pollution of the environment;Verschmutzung der Umwelt
lost;verloren
chronological study;Fertigungsablaufstudie, Ablaufstudie
turnover;Umsatz
effective time;tatsächliche Zeit
quit;aufgeben, quitt
hypothecary value;Lombardwert
local tarif;Ortstarif
hypermarket;großer Einkaufsmarkt
go-between;Vermittler
ocean freight;Seefracht, Überseefracht
essential;wesentlich
outside funds;Fremdmittel
liquid cargo;Flüssigladung
statement of account;Kontoauszug, Rechenschaftsbericht
consequential damage;Folgeschaden
actual costs;Istkosten, tatsächliche Kosten, Gestehungskosten
financial affairs;finanzielle Angelegenheiten
agency fee;Agenturgebühr
net income;Nettoeinkommen, Nettogewinn
mock auction;Scheinauktion, vorgetäuschte Versteigerung
minimum-cost batch size;kostengünstigste Losgröße
place of birth;Geburtsort
pay self;zahlen Sie diesen Scheck an mich selbst
exhibits;Ausstellungsstücke
close of the exchange;Börsenschluss
oblong size;Langformat
hard to sell;sachwer verkäuflich
attention;Aufmerksamkeit
at the frontier;an der Grenze
rates;Grundsteuer (Br.)
the complete address;die vollständige Anschrift
contrary to contract;vertragswidrig
to authenticate;authentisieren
figure;Zahl, Figur
lease or buy;mieten oder kaufen
commercial education;kaufmännische Schulbildung
efficiency test;Leistungstest, Leistungsprüfung
court of arbitration;Schiedsgericht, Schiedsgerichtshof
bonds in foreign currency;Fremdwährungsschuldverschreibungen
parallel operation;Parallelverfahren
index value;Indexwert
unfavourable balance of trade;ungünstige passive Handelsbilanz
conversion rate;Umwandlungskurs
domicile of a bill;Zahlungsadresse
the additional risks to be covered;die zusätzlich zu deckenden Gefahren
entrance duty;Einfuhrzoll
as accurately as possible;so genau wie möglich
instructor;Instrukteur
to tear down;abrüsten
to that effect;dementsprechend
the cost of consular documents;Kosten der Konsulatspapiere
time measurement;Zeitnahme, Zeitmessung
consumer acceptance;Aufnahmefreudigkeit, Kaufbereitschaft
foreign exchange;Devisen
income tax return;Einkommensteuererklärung
future goods;noch nicht erworbene oder hergestellte Ware
division of work;Arbeitsverteilung
electronic;elektronisch
to cultivate the market;den Markt pflegen
materials budget;Materialkostenplan
eraser;Radiergummi
renouncement;Verzichtleistung
weighted index;gewichteter Index
redirect;weitersenden, nachsenden
narrow fortune;knappes Vermögen
task;Aufgabe
certificate of guarantee;Garantieschein
left upper corner;Ecke oben links
payment of debts;Zahlung von Schulden
half-dollar;Halbdollarmünze
or the like;oder ähnliches
to enter a contract;einen Vertrag schließen
entrust;anvertrauen
restrict the speed;die Geschwindigkeit beschränken
in credit operations;im Akkreditiv-Geschäft
cash drain;Geldabfluss
piling up of demand;Nachfragestau
best make;bestes Fabrikat
gag;Einfall
probability;Wahrscheinlichkeit
monetary unit;Währungseinheit
student apprentice;Praktikant
mail-order house;Versandhaus
extent;Ausmaß, Umfang
telephone connection;Telefonverbindung
price loss;Kursverlust
business expentiture;Unkosten
acquisition of ownership;Erwerb des Eigentums
provide for delivery;die Lieferung ermöglichen
in the form;in der Form
below capacity employment;Unterbeschäftigung
forward sales;Terminkäufe
finance market;Geldmarkt
documents transferring title to sb.;Dokumente, mit den die Gewalt übergeben wird
price of sale;Verkaufspreis
cost accounting;Kostenrechnung, Selbstkostenrechnung
the formalities;die Formalitäten
domestic bill;Inlandswechsel
marketing consultant;Absatzberater, Vertriebsberater
frozen assets;gesperrte Guthaben
notice to pay;Zahlungsaufforderung
early closing;früher Ladenschluss
unstable;unbeständig
fast seller;Renner
to encourage arbitration;die Schiedsgerichtsbarkeit fördern
delayed demand;verzögerte Nachfrage
research technique;Forschungsverfahren
hand out;austeilen
latest information;neueste Information, letzte Information
under the circumstances;unter diesen Umständen
costs of customs clearance;Verzollungskosten
trial period;Versuchsperiode
serial number;Seriennummer
installation of a machine;Aufstellung einer Maschine
the instruction given in the order;die Weisungen des Auftrags
imitation;Nachahmung
overdue bill;überfälliger Wechsel, notleidender Wechsel
auxiliary address;Hilfsadresse
the seller shall not be deemed;es sollnicht gelten, dass der Käufer
poor market;schwacher Markt
flyback timing method;Einzelzeitverfahren
customs documents;Zollpapiere
transportation costs;Transportkosten
farm produce;Agrarerzeugnisse
goods known to be dangerous;als gefährlich bekannte Ware
used in contracts;in Verträgen verwendet
strong suspicion;dringender Verdacht
gone estray;entlaufen, davongelaufen
interest on capital;Kapitalzinsen
direct charges, direct costs;direkte Kosten
