primevère à feuilles entières;Ganzblättrige Schlüsselblume
acétone;Propanon, Azeton
patauger;paddeln / waten
le rhum;Rum
libyen;libysch
bavarois;bayerisch, bayrisch
le krypton;Krypton
le cognac;Kognak
la procession;Prozession
vider;ausleeren, entleeren
la coupe;Becher, Pokal
le rayon de rangement, l'étagère (f), la tablette;Brett, Regal, Wandbrett
accabler;überhäufen
le diagnostic;Diagnose
le diamant;Diamant
maladroit;unbeholfen
l'abcès (m);Abszess / Eiterbeule, Geschwulst
raifort, radis noir, le radis noir;Rettich
animer;beseelen, beleben
le japonais, la langue japonaise;Japanisch, japanische Sprache
le cafard, la blatte;Schabe
potentille dorée;Gold-Fingerkraut
la Pandore;Pandora
le tourisme;Tourismus
cueillir;abreißen, losreißen, pflücken, abpflügen
le chardon;Distel
le fumier, l'engrais (m);Dünger, Mist
le tunnel;Tunnel
la polémique;Polemik
refléter;reflektieren, rückstrahlen
le pavot;Mohn
jaunir;vergilben
rapporter;angeben, berichten, melden, referieren
le bulldozer;Bulldozer, Planierraupe
le risque d'accident;Unfallrisiko
le chiffre;Zahl, Zahlzeichen, Ziffer
la Polynésie;Polynesien
confier;anvertrauen / betrauen mit, Vertrauen setzen in, zutrauen
Hongrois (m);Ungar
la verrue;Warze
le œillet;Nelke
inspecter;beaufsichtigen, inspizieren, mustern
la cantine;Kantine, Schenke
la mercerie;Kurzwaren, Kramware
la mèche;Docht
Hannibal (m), l'Annibal (m);Hannibal
arrière-garde;Nachhut
l'accent (m);Akzent, Betonung, Ton
depuis lors;fortan
le nid;Horst, Nest
mauricien;mauritisch, maurizisch
athénée;Athenäum
l'affixe (m);Affix, Zusatzsilbe
balistique;Ballistik
le Cupidon;Amor
la faculté;Fakultät
le veuf;Witwer
barrer;hindern, sperren, versperren
la larve;Larve
la tentation;Versuchung
le liber;Bast
la mansarde;Dachstübchen, Mansarde
l'enthousiasme (m);Begeisterung, Enthusiasmus
meubler;möblieren
la constellation;Sternbild
safran du printemps;Frühlings-Krokus
la portière;Wagentür
le cerisier;Kirschbaum
le Mexicain;Mexikaner
assainir;genesen
la rubrique;Rubrik
anémone du printemps;Frühlings-Küchenschelle
inédit, original;eigentümlich, originell
l'excès (m);Ausschreitung, Exzess
le Deutéronome;Deuteronomium
atmosphèrique;atmosphärisch
le bas-relief;Basrelief
globulaire à feuilles en cœur;Kugelblume
l'aveu (m);Bekenntnis, Beichte, Eingeständnis, Geständnis
étourdi;unüberlegt
la libellule;Libelle, Wasserjungfer
apostolat;Apostolat
bactériologique;bakteriologisch
bébête;blödsinnig, stumpfsinnig
galant;galant, zuvorkommend
la pompe;Gala, Gepränge, Parade, Staat / Pomp / Pumpe
la giroflée des murailles;Goldlack
l'occasion (f);Begebenheit, Gelegenheit, Geschehnis, Ereignis, Fall, Vorfall
la Samarie;Samaria
le violoncelle;Violincello
commode, opportun;bequem, gelegen, gemächlich
horoscope (m);Horoskop
associer;verbinden, verknüpfen
la casquette;Schirmmütze
le luth;Laute
aérolithe;Aerolith, Meteorit, Meteorstein
l'utérus (m);Gebärmutter, Uterus
l'aliénation (f);Wahnsinn
effacer;wegwischen / wischen
le Maltais;Maltese, Malteser
le merle;Amsel
l'Uruguay (m);Uruguay
la dépense;Aufwand, Ausgabe, Auslage
coeloglosse verdâtre;Grüne Hohlzunge
le bossu;Buckliger
le bouillie, la purée;Brei, Mus
la seigneurie;Lehen / Eminenz, Erlaucht, Exzellenz, Hoheit, Majestät
l'angine (f);Angina
l'abattant (m);Klappe
gazouiller, pépier;piepen, zwitschern
entourer;umringen, umzingeln
la commode;Kommode
le grillage;Drahtgitter / Gatter, Gitterwerk
la rédaction;Redaktion / Redigierung
andorran;andorranisch
prêter serment, jurer;beeidigen, schwören, beschwören
Guebwiller;Gebweiler
l'égyptologue (m);Ägyptenforscher, Ägyptologe
le murmure;Gemurmel, Murmeln, Murren
la peseta;Pesete
le théisme;Theismus
le papier buvard;Löschpapier
le persil;Petersilie
circuler;umlaufen, zirkulieren / umgehen
affluent;Nebenfluss
Djibouti;Dschibuti
couler;fließen, rinnen, strömen
le quai;Kai
l'analphabète (m/f);nicht alphabetisiert / Analphabet
joubarbe aranéeuse;Spinnweben-Hauswurz
le Ghana;Ghana
garder;hüten, behüten, bewachen, überwachen
le Brabant;Brabant
les Apennins;Apenninen
le régiment;Regiment
la plate-forme, la plate-bande;Beet
l'écaille (f);Schuppe
la poudre à canon;Pulver, Schießpulver
la baronne;Freifrau
le géomètre, l'arpenteur (m);Geodät, Feldmesser, Landmesser / Geometer
la chauve-souris;Fledermaus
le Benelux;Benelux
albino;Albino
tchèque;tschechisch
le Pakistanais;Pakistaner
l'Alexandrie (f);Alexandria
epervière velue;Woll-Habichtskraut
héraut (m);Verkündiger, Ausrufer, Herold
rosier des Alpes;Alpen-Rose
céder;abtreten, nachgeben, weichen
le ciment;Zement
fanfarroner, faire le malin;ausposaunen, brüsten, prahlen, renommieren
la queue;Stengel / Fahne, Lunte, Schleppe, Schweif, Wedel
l'Asie Mineure (f);Kleinasien
le Gédéon;Gideon
Delle;Dattenried
anatomiste;Anatom
l'accompagnateur (m);Gefährte
la domestique, la servante;Dienstbotin, Magd
tramer;weben, wirken
la tradition;Tradition, Überlieferung
le prolétaire;Proletarier
le Nemrod;Nimrod
l'accomplissement (m);Ausführung
l'aorte (f);Aorta, Hauptschlagader
l'Algérien (m);Algerier
le disque;Diskus, Wurfscheibe
la filiale, la succursale;Filiale, Nebengeschäft, Zweigniederlassung
le travail manuel;Handarbeit
l'Orphée (m);Orpheus
l'aérateur (m);Ventilator
le chiendent;Quecke
honorable;ehrbar
le bubale, le buffle;Büffel
le crocodile;Krokodil
la paille;Stroh
la cicatrice;Narbe
le militant, le combattant;Kämpfer
rosage hérissé, rhododendron hérissé;Rauhblättriger Almrausch
primevère farineuse;Mehl-Primel
trèfle;Klee
l'Achille (m);Achilles
le citronelle;Zitronenkraut, Stabwurz
vietnamien;vietnamesisch
la Tunis;Tunis
le sabre;Säbel
la Géorgie;Georgien
à deux;zu zweien
l'inquiétude (f);Angst, Unruhe
la plante;Fußsohle, Sohle / Anlage, Pflanzen, Anpflanzen, Pflanzung, Anpflanzung
le pessimiste;Pessimist
le lyrisme;Lyrik
le rang;Amtswürde, Grad, Rang, Stand, Würde / Kette, Reihe, Reihenfolge, Tour
le cactus;Kaktus
astérisque;Sternchen
renoncule des montagnes;Berg-Hahnenfuß
la sentence;Denkspruch, Sentenz, Spruch / Verdikt, Wahrspruch
le Moldave;Moldauer
la Lettonie;Lettland
chou rouge;Rotkraut
le comte;Graf
barbarisme;Barbarismus, Sprachwidrigkeit, grober sprachlicher Fehler, Barbarentum
l'Afghanistan (m);Afghanistan
amazone;Amazone
Asselscheuerhof;Asselscheuerhof
le Bulgare;Bulgare
rester en arrière;zurückbleiben
la dyspepsie;Verdauungsstörung, Magenverstimmung
amandier à fruits amers;Bittermandel, Bittere Mandel, Bittermandelbaum
la flûte;Flöte
empêtrer, entortiller;einwickeln, hineinziehen, verwickeln
le rubidium;Rubidium
tirer au sort;losen
l'écureuil (m);Eichhörnchen
Indienne;Indianerin
le chaume;Stoppel
le Libéria;Liberia
pain de pourceau;Alpenveilchen, Erdscheibe
bégueule;prüde, zimperlich
la blouse longue;Kittel
l'estrade (f);Podium
retors;abgefeimt, verschlagen, verschmitzt
la ménagerie;Tierschau, Menagerie
l'edelweiss (m), étoile des Alpes;Edelweiß
moldave;moldauisch
trier;absondern, abteilen, abtrennen, scheiden / klassifizieren / selektieren
le rossignol;Nachtigall
le salami;Dauerwurst, Rotewurst, Salami
grassette;Fettkraut
le descendant, le successeur;Abkomme, Abkömmling, Epigone
l'ion (m);Ion
le noyau;Kern, Obststein
banqueroute;Bankrott, Konkurs, Pleite
peureux, timide;bang, zaghaft
hussard (m);Husar
le Capricorne;Steinbock
l'ardoise (f);Schiefer, Schiefergestein
le congrès;Kongress
parader;paradieren, stolzieren, Parade machen
le fruitier;Obstbaum
minimum;minimales (Element)
le Monténégro;Montenegro
l'Andalousie (f);Andalusien
pacifier;besänftigen, dämpfen, züchtigen / befrieden
la psychanalyse;Psychoanalyse
la boucle de vêtement;Schnalle, Spange
crever;bersten, platzen, zerplatzen, zerspringen
bombarder;beschießen, bombardieren
la perdrix;Rebhuhn
l'enchantement (m), le sortilège;Zauber, Zaubern
la pieuvre;Polyp
conscient;wissentlich
le flaque;Lache, Pfütze
l'incident (m);Zwischenfall, Vorfall
le vase;Behälter, Gefäß, Vase
l'acajou (m);Mahagoni, Mahagoniholz
noble, élevé;edel, edelmütig, erhaben
l'igname (f);Jamswurzel
le refuge;Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt / Freistätte, Hospiz, Zuflucht / Hort
albanais;albanisch
conforme;gleich, entsprechend, konform
souple;elastisch, federnd / gefügig, geschmeidig
le continent;Erdteil, Festland, Kontinent
hareng (m);Hering
le Viêt-nam;Vietnam
le commissariat;Polizeiamt, Polizeiwache
la Flandre;Flandern
trébucher;stolpern
brandir;schlingen, schwingen
la plante du pied;Fußsohle, Sohle
primevère auricule;Gamsblume, Alpenaurikel
le pardon;Begnadigung, Vergebung, Verzeihung
l'oursin (m);Seeigel
le sphinx;Sphinx
gentiane ponctuée;Tüpfel-Enzian
pédiculaire tronquée;Gestutztes Läusekraut
la Somalie;Somalia
l'intrigue (f);Umtrieb, Intrige / Manöver
avantageux, interéssant;vorteilhaft
l'intuition (f);instinktives Erfassen, Intuition
la vigne;Rebe, Weinstock
la kermesse;Kirtag, Kirmes, Kirchweih
mongol;mongolisch
béjaune;Grünschnabel
babeurre;Buttermilch
la douane;Zollamt
la voûte;Gewölbe
les Vosges;die Vogesen
la caille;Wachtel
la lentille;Linse
saxifrage faux Aizoon;Fetthennen-Steinbrech
la golfe Persique;Persischer Golf
le Liban;Libanon
le fléau de balance;Schulterjoch, Wagebalken
liquider;abrechnen, liquidieren
la pomme de pin;Kegel, Konus / Zapfen
houblon (m);Hopfen
incalculable;zahllos
choquer;Anstoß erregen
effleurer;leicht berühren, streifen
l'Aztèque (m);Azteke
le Togo;Togo
renoncule des glaciers;Gletscher-Hahnenfuß
l'encyclopédie (f);Enzyklopädie
arlequin, baladin;Narr, Hofnarr, Harlekin
aster des Alpes;Alpen-Aster
réciter;rezitieren, vortragen
la paupière;Augenlid
le firmament;Himmelszelt, Firmament
percer;bohren / lochen
le timbre à cachet;Stempel
le seuil;Schwelle
arnica;Arnika
sémitique;semitisch
Angolais;Angolaner
le patin à glace;Schlittschuh
le basson;Fagott
le Messie;Messias
les Carpates;Karpaten
la moisson, la récolte;Ernte, Lese
la ballade;Ballade
la mosquée;Moschee
vaniteux;eitel, hinfällig
l'ornement (m);Ausschmückung, Dekoration, Schmücken / Ornat
hacher;hacken, hauen
la pension alimentaire;Alimente, Unterhalt
le matériel;Gerät, Utensilien, Zeug
la corniche;Sims
arrosoir;Gießkanne
le vocabulaire;Wörterverzeichnis
Haguenau;Hagenau
le perroquet;Papagei
le bourdon;Hummel
le Jacob, le Jacques;Jakob
le Basque;Baske
la fiche;Zettel
le yoghourt, le yogourt, le yaourt;Joghurt
délivrer, libérer;befreien, entledigen, erledigen, freilassen, frei machen
le Milan;Mailand
serein;heiter, ungetrübt
le saxophone;Saxophon
l'étain (m);Zinn
le mulet;Maulesel, Maultier
la ride;Runzel, Gesichtsfalte / Falte, Furche
prétendre à;posieren / beanspruchen, zumuten
lin des Alpes;Alpen-Lein
cynique;zynisch
la pommade;Pomade
la claie;Hurde, Horde
l'épice (f);Gewürz, Würze
le Syrien;Syrer
balsamine;Springkraut
la marée basse;Ebbe
le charme;Anmut, Liebreiz, Grazie / Hagebuche, Weißbuche / Zauber, Zaubern
saper, miner;untergraben
choisir, opter;auslesen, wählen, auswählen, erwählen
panaméen;panamaisch
l'océan Arctique (m);Arktischer Ozean
le thon;Thunfisch
l'orme (m);Ulme
le don Quichotte;Don Quichotte
le stuc;Stuck
l'époque (f);Epoche, Zeitabschnitt
le Liége, le Liège;Lüttich
joubarbe;Hauswurz
artilleur;Artillerist
la passion;Leidenschaft, Lust, Passion
l'amende (f);Geldstrafe
le WC, le cabinet;Abort, Abtritt
dicter;auferlegen, diktieren, vorsagen, zuerkennen / begeistern, eingeben, inspirieren
l'association (f);Verbindung, Vereinigung
armistice;Waffenstillstand
croasser;krächzen
l'assimilation (f);Anpassung, Assimilation
l'organe (m);Organ
hêtre (m);Buche
dent de chien;Hunds-Zahnlilie
trembler;beben, zittern, zucken
bruxellois;brüsseler
la Babylonie;Babylonien
la nymphe;Nymphe
aigrir, acidifier;säuern, erbittern
le géologue;Geologe
le regret;Badauern
le cristal;Kristall
osciller;oszillieren, schwingen
l'étoile filante (f);Sternschnuppe
la Nouvelle-Guinée;Neuguinea
le Méphistophélès;Mephisto
l'uniforme (m);Uniform
anagramme;Anagramm
la subvention;Subvention
la Syrie;Syrien
combler;überschütten
plaire;behagen, gefallen, belieben
inverse;invers, umgekehrt
balalaïka;Balalaika
la formule;Formel
les broussailles;Gestrüpp
la cheminée;Kamin
le Kenya;Kenia
l'amnistie (f);Amnestie, Begnadigung, Straferlass
la silhouette;Schattenriss, Silhouette
abdication;Abdikation, Abdankung
la steppe;Steppe
antarctique;antarktisch, südpolar
crépide;Pippau
le rhododendron;Rhododendron
hypothèque (f);Hypothek
exploiter;ausbeuten, ausnutzen
la Lisbonne;Lissabon
la Thrace;Thrakien
triompher;stolzieren
l'archiduc (m);Erzherzog / Großherzog
oxytropide des montagnes;Berg-Fahnenwicke
la dynamite;Dynamit
marchander;feilschen, dingen
dévier;abschweifen, abweichen
griffer;kratzen, ritzen
batteuse;Dreschmaschine
slovaque;slowakisch
accoter;anlegen, lehnen, anlehnen, stemmen, stützen, unterstützen
onduler;wallen, wogen
l'observatoire (m);Observatorium, Sternwarte / Warte
la lanterne;Laterne
la chenille;Raupe
pelleter;schaufeln
être accroupi;kauern
aboyer à;in Misskredit bringen
pompette;angeheitert
l'aire (f);Flächeninhalt
l'anémone (f);Anemone, Windröschen, Küchenschelle
jus d'ananas;Ananassaft
adhésif;Häufungs-(punkt), Berührungs-(punkt), Adhärenz-(punkt), adhärenter (Punkt), Limes-(punkt)
la bobine;Spule
le préfixe;Präfix
l'aberration (f);Abirrung, Aberration / Wahnsinn
l'écrou (m);(Schrauben)Mutter
dissonant;dissonant, missklingend
le martyr;Märtyrer
le flêche;Pfeil
le pionnier;Bahnbrecher, Pionier
le lombric, la ver de terre;Regenwurm
minéral;mineralisch
le zébu;Zebu, Buckelrind
adjectif;adjektivisch
l'agronomie (f);Landwirtschaftskunde
hypnotiser;hypnotisieren
succulent;delikat / Saft-, saftig
gentiane;Enzian
la marte, la martre;Marder
l'argile (f);Lehm, Ton, Tonerde
gras;feist, fett, fettig, geil
fracasser, réduire en miettes;zermalmen, zerschmettern
l'anarchisme (m);Anarchismus
moudre;mahlen
le lama;Lama
le Zimbabwe;Simbabwe
la souscription;Anzahlung, Vorschuss
la lie;Hefe
le palmier;Palme
démissioner, se retirer;abdanken
la Galice;Galicien
la femme de chambre;Zimmermädchen, Zofe
le moulin;Mühle
baccara;<Kartenhazardspiel>
l'Australien (m);Australier
le Panama;Panama
les instances, l'instance (f);Andrang
parcourir;durchgehen, durchqueren, hindurchgehen
la Mongolie;Mongolei
le débris;Bestand, Rückstand, Überbleibsel / Müll, Schutt
huître (f);Auster
la Guinée;Guinea
la châtaignier;Kastanienbaum
le Danois;Däne
la spirale;Spirale
le cerf;Hirsch
l'aliéné (m);Irre
le libraire;Buchhändler
sri lankais;srilankisch
le textile;Gewebe, Gewirk
le baron;Baron, Freiherr
la fraternité;Brüderlichkeit
barbarie;Barbarei
l'amiral (m);Admiral
robuste;fest, befestigt, haltbar, wiederstandsfähig
le Morphée;Morpheus
péter;furzen
la vente aux enchères;Auktion, Versteigerung
la tombe;Grab, Gruft
estonien;estisch
le Germain;Germane
la paroisse;Pfarrei, Parochie, Sprengel
l'astre (m);Gestirn
émanciper;emanzipieren
faire appel;appellieren
le franc;Frank
le rouleau;Rolle, Walze
l'appareil (m);Apparat, Vorrichtung
le schéma;Schema
l'eau-forte (f);Scheidewasser
le rire;Lachen
s'appauvrir;verarmen
la Pénélope;Penelope
le melon d'eau;Wassermelone
loyal;bieder, loyal
la marguerite;Gänseblume, großes Maßlieb
l'adversaire (m), l'antagoniste (m/f);Gegner, Widerpart, Widersacher
libanais;libanesisch
l'académicien (m);Akademiker, Mitglied der Akademie, Akademiemitglied
l'abreuvoir (m);Tränke
la baraque;Baracke, Lagerhütte
effacer en grattant;schaben, kratzen, radieren
sauter à l'abordage, monter à l'abordage;anhängen, anhaken, häkeln
frire;backen, braten
coopérer;Mitglied einer Genossenschaft sein, Mitglied einer Kooperative sein
le gorille;Gorilla
le cyclone;Wirbelwind, Zyklon
poser une question;fragen, anfragen
le bandage;Bandage, Verband
le Norvégien;Norweger
réunir;verbinden, verknüpfen / sich treffen, sich versammeln, zusammenkommen, zusammentreffen
accidenté;uneben
invoquer;anrufen, zurufen
authentique;authentisch, echt
le pas;Schritt, Tritt
bagasse;Bagasse
l'albatros (m);Albatros
caucasique, caucasien;kaukasisch
le corail;Koralle
le baryum;Barium
le store;Jalousie, Rolladen
la gelée blanche, le givre;Reif
l'Aphrodite (f);Aphrodite
le canari;Kanarienvogel
l'audience (f);Audienz
l'Irlande du Nord (f);Nordirland
le Calvin;Kalvin
l'axe (m);Achse
actionner;antreiben
la bûche;Holzscheit, Klotz, Scheit
le Géorgien;Georgier
augurer;wahrsagen
violette jaune;Zweiblütiges Veilchen
les Açores, Açores;Azoren
la sphère;Sphäre
le mousquet;Muskette / Muskete
la Némésis;Nemesis
l'espéranto (m);Esperanto
le tapioca;Tapioka
l'enclume (f);Amboss
l'Algérie (f);Algerien
l'archaïsme (m);altertümlicher Ausdruck, Archaismus
pâlir;erblassen, verblassen
le portefeuille d'actions;Aktienkapital
contracter, s'engager;einen Vertrag schließen
le piston;Kolben
la caresse;Liebkosen
banqueter;festlich bewirten
craquer;knallen, knarren, krachen
la Floride;Florida
humeur (f);Humor, Laune, Stimmung
l'indication (f);Anzeige, Angabe
isocèle;gleischenklig
le ragoût;Ragout
anémique;anämisch, blutarm
se révolter;rebellieren, revoltieren, sich empören
l'artichaut (m);Artischocke
le prognostic;Prognose
l'aconit (m);Eisenhut
le benzène, le benzol;Benzol
la construction;Einrichtung, Zusammenstellung / Anbau / Erbauung, Bau
la brochure;Broschüre
ébranler;bewegen, wankend machen
la Républic Dominicaine;Dominica
le parrain;Gevatter, Pate
le commutateur;Umschalter
solidaire;solidarisch
pédiculaire à bec et en épi;Fleischrotes Läusekraut
le colza;Raps
le dynamomètre;Dynamometer
antisémitique;antisemitisch
la cadence;Kadenz
bengali;bengalisch
singaporien;singapurisch
le Pégase;Pegasus
résulter;resultieren
l'Abyssinie (f);Abessinien
ronronner, bourdonner;summen
l'infini (m);Unendlichkeit
le Monégasque;Monegasse
gymnadène à forte odeur;Wohlriechende Händelwurz
assiéger;belagern
avorter;eine Fehlgeburt haben
le coquelicot;Klatschmohn
l'épidémie (f);Epidemie, Seuche
l'abri (m);Vordach / Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt / Bunker, Obdach / Markise / Freistätte, Hospiz, Zuflucht
le Turc;Türke
réconforter;ermutigen
la Zélande, Zélande;Seeland
nicaraguayen;nicaraguanisch
inciter;anspornen, antreiben, aufhetzen, herausfordern
égyptien;ägyptisch
ivoirien;ivorisch
intact;intakt, unversehrt / unbeschadet
reformer;reformieren
les Delphes;Delphi
être efficace;wirken, einwirken, erwirken
fumer des aliments;rußen, räuchern
jongler;gaukeln, jonglieren
la lisière;Saum, Einfassung / Grat, Kante, Rand
le concombre;Gurke
râler;nörgeln
voiler;verhüllen, verschleiern
le crâne;Schädel
éthiopien;äthiopisch
le compas;Zirkel
l'apiculteur (m);Imker, Bienenzüchter
le carreau;Fliese, Kachel
l'azimut (m);Azimut
le Tokyo;Tokio
le Noé;Noah
la race;Rasse
le sort;Fügung, Geschick, Los, Schicksal, Verhängnis
le missel;Messbuch, Missale
argenter;versilbern
dénoncer;angeben, anzeigen, denunzieren, hinterbringen
l'ovaire (m);Eierstock, Fruchtknoten
séditieux;aufrührerisch
le jonc;Binse
le puceron;Blattlaus (bestimmte), Röhrenlaus
hydraulique;hydraulisch
l'apathie (f);Apathie, Teilnahmslosigkeit
le gui;Mistel
le thym;Thymian
le maillot;Wickel
le pou;Laus
guetter, épier;wachen, lauern, spannen, Wache schieben, heimlich beobachten, bewachen, belauern
fécond;fruchtbar
confisquer;mit Beschlag belegen, konfiszieren
le culte;Kultus
le pinson;Fink
antidote;Gegengift, Gegenmittel
Néau;Eupen
gentiane jaune;Gelber Enzian
se racornir, se ratatiner;einschrumpfen, eingehen, schrumpfen
la pression atmosphérique;Luftdruck
l'Escaut (m);Schelde
cortuse de matthiole;Heilglöckchen
le Canadien;Kanadier
mouiller;befeuchten, wässern
la randonnée, l'excursion (f);Ausflug, Exkursion
Asselborn;Asselborn
automobilisme;Autofahren, Automobilsport
le dégât;Schaden, Sachschaden / Verderbnis
le chaudron;Kessel
la branchie;Kieme
l'acrobaties (f);Akrobatik
asymétrique;asymmetrisch
rayons alpha;Alpha-Strahlen
la promotion;Promotion
le rabbin;Rabbiner
plier;falten, zusammenlegen
manifester;manifestieren
le plutonium;Plutonium
l'agronome (m);Agronom, Landwirtschaftsexperte
le baldaquin;Baldachin
chardon des Alpes;Berg-Distel
l'adjudant (m);Adjutant, Hilfsoffizier
caduc, délabré;abgelebt, baufällig, gebrechlich, hinfällig
l'aisselle (f);Achselhöhle
découvrir;abdecken, entdecken, enthüllen
Mauritanien;Mauretanier
acariâtre;streitsüchtig
le pupitre;Pult
l'Arabe (m);Araber
humus (m);Humus
la colonie;Ansiedlung, Kolonie
hystérie (f);Hysterie
hérésie (f);Häresie, Ketzerei, Irrlehre
le Philippin;Philippiner
autobiographique;autobiographisch
viscaire des Alpes;Alpen-Pechnelke
le bambou;Bambus
bafouer;äffen, foppen, spotten, verspotten
le séjour;Aufenthalt
sagace, avisé;spitzfindig
l'avarice (f);Geiz
le zèbre;Zebra
printanier;Frühlings-
horizon (m);Gesichtskreis, Horizont
resplendir;funkeln, glitzern
creuser;graben, wühlen
l'anarchie (f);Anarchie
les Pouilles, la Pouille;Apulien
la vitrine;Vitrine
le schah, le shah;Schah
apartheid;Apartheid
la fée;Fee
androsace;Mannsschild
l'orbite (f);Einflusssphäre, Umlaufbahn, Machtbereich, Augenhöhle, Bahn
monotone;eintönig, monoton
la ponctuation;Interpunktion
la couche, la feuille de placage;Scheibe, Schicht
la jacinthe;Hyazinthe
s'enivrer;saufen, zechen
limer;feilen
la Babel;Babel / Babylon
traiter;behandeln, traktieren
l'érosion (f);Abschwemmung, Abtragung, Erosion
le miracle;Wunder, Wundertat
la pilule;Pille
l'orchestration (f), l'adaptation musicale (f);Orchesterfassung
le journalier;Tagelöhner
asphalter;asphaltieren
l'agence (f);Agentur
l'albumine (f), l'albumen (m);Eiweiß
l'abomination (f);Abscheu / Greuel
à tout le monde;jedermanns, jedes
la mouette;Möwe
l'aquarelle (f);Aquarell
irlandais;irisch
le Kurdistan;Kurdistan
l'aboi (m), l'aboiement (m);Gebell
hippopotame (m);Flusspferd
l'Arcadie (f);Arkadien
nématode;Aaltierchen, Aalwurm
se faner;welken, verwelken
la Thaïlande, le Siam;Thailand
le phonographe;Phonograph, Fonograf, Tonaufnahmegerät / Grammophon, Plattenspieler, CD-Spieler
clématite des Alpes;Alpen-Waldrebe
la Mauritanie;Mauretanien
l'Estonien (m);Este
la loutre;Fischotter
le gland;Eichel
tourbilloner;verwirbeln
l'aborigène (m);Eingeborene
barboter;paddeln / klatschen, plätschern
Yéménite;jemenitisch
l'arc-en-ciel (m);Regenbogen
grincer;knarren
le Spitzberg;Spitzbergen
l'articulation (f);Fuge, Gelenk
hormone (f);Hormon
Bruges;Brügge
l'exhalaison (f), l'odeur délétère (f);Ausdünstung, Dunst
projeter un liquide;spritzen, sprühen
imiter;imitieren, nachahmen, nachbilden
le Gabon;Gabun
l'autocratie (f);Autokratie, Selbstherrschaft
le char;Panzer / Fuhre, Karren
le Pentateuque;Pentateuch, 5 Bücher Mose
l'abjection (f);Infamie
le ciseau;Meißel, Stemmeisen
La Havane;Havana
le fiord;Fjord
agiter;agitieren / schlingen, schwingen
la basilique;Basilika
rater;verfehlen
doronic;Gemswurz
l'établi (m);Arbeitsbock, Bank, Gestell, Staffel, Staffelei, Werkstuhl
la glissoire;Eisbahn
la grâce;Gnade, Gunst, Vergünstigung / Anmut, Liebreiz, Grazie
l'Archimède (m);Archimedes
l'illusion (f);Einbildung, Illusion, Täuschung, Wahn
wallon;wallonisch
l'accordéon (m);Akkordeon, Schifferklavier, Ziehharmonika, Harmonika
roter;aufstoßen, rülpsen
la bosse;Beule, Knolle, Knoten / Buckel, Höcker / Schwellen, Schwellung
le tigre;Tiger
accotoir, accoudoir;Armlehne
l'Epiphanie (f);Dreikönigsfest
le fluor;Fluor
agir avec affectation;affektieren, künsteln, sich zieren
la métamorphose;Metamorphose
l'Indochine (f);Hinterindien
estampiller;abstempeln
la fatalité;Verhängnis
amarante;Tausendschön, Amarant
acétylène;Äthin, Azetylen
soularger;entladen, entlasten
l'enquête (f);Umfrage
l'Agamemnon (m);Agamemnon
le bouleau;Birke
l'adagio (m);Adagio
mutiler;verkrüppeln
faire avorter;abtreiben
agir;agieren, handeln, verfahren, vorgehen, wirken / einwirken, erwirken
le Persan;Perser
disposer de;disponieren, verfügen
de temps en temps;dann und wann, von Zeit zu Zeit, zeitweilig
l'acre (f);Acker
héroïne (f);Heroin / Heldin
la gencive;Zahnfleisch
le bâbord;Backbord
subtil;spitzfindig, subtil
la tête d'ail;Knoblauchzwiebel
le dortoir;Schlafgemach
centaurée des montagnes;Berg-Flockenblume
forer;bohren
apparier;paaren
le flacon;Flakon, Fläschen
renoncule alpestre;Alpen-Hahnenfuß
renarde;Füchsin
indigner;entrüsten
le temple;Tempel
parier;wetten
la chanson;Kanzone, Chanson
le tour;Turm, Zwinger / Kette, Reihe, Reihenfolge, Tour
sussurer;rauschen
le sable;Sand
la mer Caspienne;Kaspische Meer
la bêche;Spaten
appartenir;gehören, angehören, zugehören
saxifrage à feuilles opposées;Roter Steinbrech
l'Anvers (m);Antwerpen
l'environnement (m);Milieu
Bruxellois;Brüsseler
valable;rechtsgültig
le satellite;Trabant / Satellit
miauler;miauen
le colonel;Oberst
l'antipathie (f);Abneigung, Antipathie, Wiederwillen
imprimer;drucken, prägen
la matière;Materie
la Nimègue;Nimwegen
le réfectoire, la salle à manger;Speisesaal, Speisezimmer
la taupe;Maulwurf
violer;vergewaltigen / entheiligen, entweihen / brechen, abbrechen, aufbrechen
alors;damals, dann, hierauf
la Malaisie;Malaysia
Hawaii (m);Hawaii
analyste;Laborant
allégorique;allegorisch
anglo-saxon;angelsächsisch
Colmar;Colmar
attaquant;Angreifer, Aggressor
l'île Maurice (f);Mauritius
employer, user de, se servir de;anwenden, benutzen, brauchen, gebrauchen, verwenden, verwerten
duper;überlisten
l'orgue (m);Orgel
la poésie;Dichtkunst, Dichtung, Poesie
la nuque;Genick, Nacken
la tache;Fleck, Flecken, Klecks
macédonien;mazedonisch
la Zambie;Sambia
bamboucher, faire la noce;ausschweifend leben, liederlich leben
le tourbillon;Wirbel, Strudel
fréquenter;frequentieren, Umgang haben, verkehren, oft besuchen
boxer;boxen
l'Islandais (m);Isländer
s'abâtardir;ausarten, degenerieren, entarten
le criquet;Grashüpfer, Heuschrecke
le faux-fuyant, le détour;Ausflucht, Ausrede, Ausweg, Umschweif
azur;azurn
